op_id,op_type,dtype,value_range_in_bits,saturation,per,order
160,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
161,icraft::xir::ConcatNode,int8,8;8,kld;kld,channel;tensor,-
162,icraft::xir::SplitNode,int8,8;8,kld;kld,channel;tensor,-
163,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
164,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
165,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
166,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
167,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
168,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
169,icraft::xir::ConcatNode,int8,8;8,kld;kld,channel;tensor,-
170,icraft::xir::SplitNode,int8,8;8,kld;kld,channel;tensor,-
171,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
172,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
173,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
174,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
175,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
176,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
177,icraft::xir::ConcatNode,int8,8;8,kld;kld,channel;tensor,-
178,icraft::xir::SplitNode,int8,8;8,kld;kld,channel;tensor,-
179,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
180,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
181,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
182,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
183,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
184,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
185,icraft::xir::ConcatNode,int8,8;8,kld;kld,channel;tensor,-
186,icraft::xir::SplitNode,int8,8;8,kld;kld,channel;tensor,-
187,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
188,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
189,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
190,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
191,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
192,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
193,icraft::xir::ConcatNode,int8,8;8,kld;kld,channel;tensor,-
194,icraft::xir::SplitNode,int8,8;8,kld;kld,channel;tensor,-
195,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
196,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
197,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
198,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
199,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
200,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
201,icraft::xir::ConcatNode,int8,8;8,kld;kld,channel;tensor,-
202,icraft::xir::SplitNode,int8,8;8,kld;kld,channel;tensor,-
203,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
204,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
205,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
206,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
207,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
208,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
209,icraft::xir::ConcatNode,int8,8;8,kld;kld,channel;tensor,-
210,icraft::xir::SplitNode,int8,8;8,kld;kld,channel;tensor,-
211,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
212,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
213,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
214,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
215,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
216,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
217,icraft::xir::ConcatNode,int8,8;8,kld;kld,channel;tensor,-
218,icraft::xir::SplitNode,int8,8;8,kld;kld,channel;tensor,-
219,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
220,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
221,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
222,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
223,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
224,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
225,icraft::xir::ConcatNode,int8,8;8,kld;kld,channel;tensor,-
226,icraft::xir::SplitNode,int8,8;8,kld;kld,channel;tensor,-
227,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
228,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
229,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
230,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
231,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
232,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
233,icraft::xir::ConcatNode,int8,8;8,kld;kld,channel;tensor,-
234,icraft::xir::SplitNode,int8,8;8,kld;kld,channel;tensor,-
235,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
236,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
237,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
238,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
239,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
240,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
241,icraft::xir::ConcatNode,int8,8;8,kld;kld,channel;tensor,-
242,icraft::xir::SplitNode,int8,8;8,kld;kld,channel;tensor,-
243,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
244,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
245,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
246,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
247,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
248,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
249,icraft::xir::ConcatNode,int8,8;8,kld;kld,channel;tensor,-
250,icraft::xir::SplitNode,int8,8;8,kld;kld,channel;tensor,-
251,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
252,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
253,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
254,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
255,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
256,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
257,icraft::xir::ConcatNode,int8,8;8,kld;kld,channel;tensor,-
258,icraft::xir::SplitNode,int8,8;8,kld;kld,channel;tensor,-
259,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
260,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
261,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
262,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
263,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
264,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
265,icraft::xir::ConcatNode,int8,8;8,kld;kld,channel;tensor,-
266,icraft::xir::SplitNode,int8,8;8,kld;kld,channel;tensor,-
267,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
268,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
269,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
270,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
271,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
272,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
273,icraft::xir::ConcatNode,int8,8;8,kld;kld,channel;tensor,-
274,icraft::xir::SplitNode,int8,8;8,kld;kld,channel;tensor,-
275,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
276,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
277,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
278,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
279,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
280,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
281,icraft::xir::ConcatNode,int8,8;8,kld;kld,channel;tensor,-
282,icraft::xir::SplitNode,int8,8;8,kld;kld,channel;tensor,-
283,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
284,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
285,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
286,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
287,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
288,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
289,icraft::xir::ConcatNode,int8,8;8,kld;kld,channel;tensor,-
290,icraft::xir::SplitNode,int8,8;8,kld;kld,channel;tensor,-
291,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
292,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
293,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
294,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
295,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
296,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
297,icraft::xir::ConcatNode,int8,8;8,kld;kld,channel;tensor,-
298,icraft::xir::SplitNode,int8,8;8,kld;kld,channel;tensor,-
299,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
300,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
301,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
302,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
303,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
304,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
305,icraft::xir::ConcatNode,int8,8;8,kld;kld,channel;tensor,-
306,icraft::xir::SplitNode,int8,8;8,kld;kld,channel;tensor,-
307,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
308,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
309,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
310,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
311,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
312,icraft::xir::Conv2dNode,int8,8;8,kld;kld,channel;tensor,-
313,icraft::xir::ConcatNode,int8,8;8,kld;kld,channel;tensor,-
